Task B: Hydrogen atom. s-wave radial Schrodinger equation on a grid

The lowest eigenvalue (i.e. the ground state energy) of Hydrogen is found as
Calculated: -0.499 Hartree 
Exact: -0.5 Hartree
rmax = 10 Bohr radii
dr = 0.1 Bohr radii


1st eigenfunction of the hydrogen atom:
7.4 0.00903821984658316 0.00904654086471767
7.5 0.00827343009719759 0.0082962655522175
7.6 0.00756910677754019 0.00760686178829728
7.7 0.00692036734431993 0.00697353861645667
7.8 0.00632268310860845 0.00639186567208467
7.9 0.00577185654492703 0.00585774793925359
8 0.00526399234351371 0.00536740204644019
8.1 0.00479547839237182 0.00491733403687764
8.2 0.00436295871937229 0.00450431854754313
8.3 0.00396331861044691 0.004125379329992
8.4 0.00359366295362825 0.00377777104620465
8.5 0.00325129783764646 0.00345896227318095
8.6 0.00293371545368561 0.00316661965108236
8.7 0.00263857356469955 0.00289859311118482
8.8 0.00236368618472101 0.00265290212168039
8.9 0.00210700442670971 0.0024277228913798
9 0.00186660610253075 0.00222137647356023
9.1 0.00164068006843814 0.00203231771452009
9.2 0.00142751339054967 0.00185912499380252
9.3 0.00122548299087422 0.00170049070549402
9.4 0.00103304116838897 0.00155521243246469
9.5 0.000848706649119431 0.00142218476786631
9.6 0.000671051259334407 0.00130039174062439
9.7 0.00049869102394549 0.00118889980403251
9.8 0.000330277299376857 0.00108685134887067
9.9 0.000164484163570309 0.000993458704712271






2nd eigenfunction of the hydrogen atom:
0 0 0
0.1 -0.075554736272723 -0.0927448688888196
0.2 -0.136168830583395 -0.171919109426832
0.3 -0.183472974405302 -0.238846463457954
0.4 -0.218959144992409 -0.294743071108074
0.5 -0.243990906188297 -0.34072534259374
0.6 -0.259813000324747 -0.377817292547676
0.7 -0.267560294858067 -0.406957371812557
0.8 -0.2682661061077 -0.429004829462809
0.9 -0.26286995269739 -0.444745635756187
1 -0.252224768516389 -0.454897994784475
1.1 -0.237103618714571 -0.460117473778438
1.2 -0.218205939659324 -0.461001774318982
1.3 -0.196163344240255 -0.458095169107792
1.4 -0.171545014521072 -0.451892626450183
1.5 -0.144862714757801 -0.442843643194701
1.6 -0.116575441267052 -0.431355805552533
1.7 -0.0870937427042691 -0.41779809597988
1.8 -0.056783725792138 -0.402503963143193
1.9 -0.0259707727787647 -0.385774170895865
2 0.00505701740918506 -0.367879441171442
2.1 0.0360456362133485 -0.349062904738377
2.2 0.0667722126284932 -0.329542372861099
2.3 0.0970422768023776 -0.309512442068024
2.4 0.126687234023172 -0.289146443435714
2.5 0.155562024655286 -0.268598247056428
2.6 0.183542965271074 -0.248003931660951
2.7 0.210525753309026 -0.22748332871677
2.8 0.236423629111249 -0.207141449710949
2.9 0.261165677574649 -0.187069804754804
3 0.284695266689643 -0.167347620111322
3.1 0.306968606903634 -0.148042961744153
3.2 0.327953429830918 -0.129213771516579
3.3 0.347627770082745 -0.110908822228485
3.4 0.365978848660058 -0.0931685972668946
3.5 0.38300204833522 -0.0760261002595698
3.6 0.398699974018421 -0.0595075997597711
3.7 0.41308159331376 -0.0436333136520316
3.8 0.426161449325356 -0.0284180376523006
3.9 0.437958943528661 -0.013871721979685
4 0.448497679735595 0
4.1 0.457804867718627 0.01319532761775
4.2 0.46591078015203 0.0257158499331262
4.3 0.472848260452945 0.0375661408819527
4.4 0.478652274100422 0.048753389679427
4.5 0.483359506185367 0.0592870638160487
4.6 0.487007994320531 0.0691786021687346
4.7 0.489636801563954 0.0784411359222896
4.8 0.491285717725988 0.0870892351578361
4.9 0.491994997082928 0.095138679115556
5 0.491805119284466 0.102606248279873
5.1 0.490756579036572 0.109509536566617
5.2 0.488889697194778 0.115866782014361
5.3 0.486244456770802 0.12169671449659
5.4 0.482860355387145 0.127018419078127
5.5 0.478776278059994 0.131851213738834
5.6 0.47403038561749 0.136214540280488
5.7 0.468660019900735 0.140127867319296
5.8 0.462701620325416 0.143610604347223
5.9 0.456190654565765 0.146682025920482
6 0.449161560383425 0.149361205103592
6.1 0.441647697893562 0.151666955362629
